rank,name,admin,country,population,slug,lat,lon,geonameid,feature_code
303,Round Rock,TX,US,115997,round-rock-tx,30.50826,-97.6789,4724129,PPL
304,Wilmington,NC,US,115933,wilmington-nc,34.23556,-77.94604,4499379,PPLA2
305,Arvada,CO,US,115368,arvada-co,39.80276,-105.08748,5412199,PPL
306,Beaumont,TX,US,115282,beaumont-tx,30.08605,-94.10185,4672989,PPLA2
307,Provo,UT,US,115162,provo-ut,40.23384,-111.65853,5780026,PPLA2
308,Peoria,IL,US,115070,peoria-il,40.69365,-89.58899,4905687,PPLA2
309,Carlsbad,CA,US,114746,carlsbad-ca,33.15809,-117.35059,5334223,PPL
310,Odessa,TX,US,114428,odessa-tx,31.84568,-102.36764,5527554,PPLA2
311,Springfield,IL,US,114394,springfield-il,39.80172,-89.64371,4250542,PPLA
312,Downey,CA,US,114219,downey-ca,33.94001,-118.13257,5343858,PPL
313,Costa Mesa,CA,US,113204,costa-mesa-ca,33.64113,-117.91867,5339840,PPL
314,Miami Gardens,FL,US,113187,miami-gardens-fl,25.94204,-80.2456,4164167,PPL
315,North Peoria,IL,US,113004,north-peoria-il,40.71754,-89.58426,4903976,PPL
316,Fairfield,CA,US,112970,fairfield-ca,38.24936,-122.03997,5347335,PPLA2
317,Lansing,MI,US,112644,lansing-mi,42.73253,-84.55553,4998830,PPLA
318,Rochester,MN,US,112225,rochester-mn,44.02163,-92.4699,5043473,PPLA2
319,Elgin,IL,US,112111,elgin-il,42.03725,-88.28119,4890864,PPL
320,West Jordan,UT,US,111946,west-jordan-ut,40.60967,-111.9391,5784549,PPL
321,Inglewood,CA,US,111666,inglewood-ca,33.96168,-118.35313,5359488,PPL
322,Terrebonne,QC,CA,111575,terrebonne-qc,45.70004,-73.64732,6163012,PPL
323,Tuscaloosa,AL,US,111338,tuscaloosa-al,33.20984,-87.56917,4094455,PPLA2
324,Richardson,TX,US,110815,richardson-tx,32.94818,-96.72972,4722625,PPL
325,Lowell,MA,US,110699,lowell-ma,42.63342,-71.31617,4942618,PPL
326,East Independence,MO,US,110675,east-independence-mo,39.09556,-94.35523,4385018,PPL
327,Gresham,OR,US,110553,gresham-or,45.49818,-122.43148,5729485,PPL
328,Antioch,CA,US,110542,antioch-ca,38.00492,-121.80579,5324200,PPL
329,St. John's,NL,CA,110525,st-john-s-nl,47.56494,-52.70931,6324733,PPLA
330,Cambridge,MA,US,110402,cambridge-ma,42.3751,-71.10561,4931972,PPL
331,High Point,NC,US,110268,high-point-nc,35.95569,-80.00532,4471025,PPL
332,Manchester,NH,US,110229,manchester-nh,42.99564,-71.45479,5089178,PPL
333,Temecula,CA,US,110003,temecula-ca,33.49364,-117.14836,5401395,PPL
334,Murrieta,CA,US,109830,murrieta-ca,33.55391,-117.21392,5375911,PPL
335,Centennial,CO,US,109741,centennial-co,39.57916,-104.87692,5416541,PPL
336,Richmond,CA,US,109708,richmond-ca,37.93576,-122.34775,5387428,PPL
337,Pueblo,CO,US,109412,pueblo-co,38.25445,-104.60914,5435464,PPLA2
338,Thunder Bay,ON,CA,108843,thunder-bay-on,48.38202,-89.25018,6166142,PPL
339,Pearland,TX,US,108821,pearland-tx,29.56357,-95.28605,4718097,PPL
340,Waterbury,CT,US,108802,waterbury-ct,41.55815,-73.0515,4845193,PPL
341,Greeley,CO,US,108795,greeley-co,40.42331,-104.70913,5577592,PPLA2
342,West Covina,CA,US,108484,west-covina-ca,34.06862,-117.93895,5407933,PPL
343,Enterprise,NV,US,108481,enterprise-nv,36.02525,-115.24194,5503766,PPL
344,North Charleston,SC,US,108304,north-charleston-sc,32.85462,-79.97481,4589387,PPL
345,Everett,WA,US,108010,everett-wa,47.97898,-122.20208,5793933,PPLA2
346,College Station,TX,US,107889,college-station-tx,30.62798,-96.33441,4682464,PPL
347,Pompano Beach,FL,US,107762,pompano-beach-fl,26.23786,-80.12477,4169014,PPL
348,South Fulton,GA,US,107436,south-fulton-ga,33.59259,-84.67294,12541728,PPL?
349,Norwalk,CA,US,107140,norwalk-ca,33.90224,-118.08173,5377995,PPL
350,Boulder,CO,US,106803,boulder-co,40.01499,-105.27055,5574991,PPLA2
351,Broken Arrow,OK,US,106563,broken-arrow-ok,36.0526,-95.79082,4531405,PPL
352,Daly City,CA,US,106562,daly-city-ca,37.70577,-122.46192,5341430,PPL
353,Sandy Springs,GA,US,105330,sandy-springs-ga,33.92427,-84.37854,4221333,PPL
354,Burbank,CA,US,105319,burbank-ca,34.18084,-118.30897,5331835,PPL
355,Green Bay,WI,US,105207,green-bay-wi,44.51916,-88.01983,5254962,PPLA2
356,Santa Maria,CA,US,105093,santa-maria-ca,34.95303,-120.43572,5393180,PPL
357,Universal City,CA,US,105000,universal-city-ca,34.1389,-118.35341,5404794,PPL
358,Waterloo,ON,CA,104986,waterloo-on,43.4668,-80.51639,6176823,PPL
359,Wichita Falls,TX,US,104710,wichita-falls-tx,33.91371,-98.49339,4741752,PPLA2
360,Brantford,ON,CA,104688,brantford-on,43.1334,-80.26636,5907990,PPL
361,Kamloops,BC,CA,104460,kamloops-bc,50.66648,-120.3192,5989045,PPL
362,Lakeland,FL,US,104401,lakeland-fl,28.03947,-81.9498,4161438,PPL
363,Clovis,CA,US,104180,clovis-ca,36.82523,-119.70292,5338122,PPL
364,Lewisville,TX,US,104039,lewisville-tx,33.04623,-96.99417,4706057,PPL
365,Tyler,TX,US,103700,tyler-tx,32.35126,-95.30106,4738214,PPLA2
366,El Cajon,CA,US,103679,el-cajon-ca,32.79477,-116.96253,5345529,PPL
367,San Mateo,CA,US,103536,san-mateo-ca,37.56299,-122.32553,5392423,PPL
368,Brandon,FL,US,103483,brandon-fl,27.9378,-82.28592,4148757,PPL
369,Lethbridge,AB,CA,103197,lethbridge-ab,49.69999,-112.81856,6053154,PPL
370,Rialto,CA,US,103132,rialto-ca,34.1064,-117.37032,5387288,PPL
371,Davenport,IA,US,102582,davenport-ia,41.52364,-90.57764,4853423,PPLA2
372,Edison,NJ,US,102548,edison-nj,40.51872,-74.4121,5097529,PPL
373,Hillsboro,OR,US,102347,hillsboro-or,45.52289,-122.98983,5731371,PPLA2
374,Delta,BC,CA,101668,delta-bc,49.08917,-123.05322,5937615,PPL
375,Las Cruces,NM,US,101643,las-cruces-nm,32.31232,-106.77834,5475352,PPLA2
376,South Bend,IN,US,101516,south-bend-in,41.68338,-86.25001,4926563,PPLA2
377,Chilliwack,BC,CA,101491,chilliwack-bc,49.16638,-121.95257,5921356,PPLA2
378,Albany,NY,US,101228,albany-ny,42.65258,-73.75623,5106834,PPLA
379,New Bedford,MA,US,101079,new-bedford-ma,41.63526,-70.92701,4945121,PPL
380,Vista,CA,US,100890,vista-ca,33.20004,-117.24254,5406602,PPL
381,Davie,FL,US,100882,davie-fl,26.06287,-80.2331,4152820,PPL
382,Red Deer,AB,CA,100844,red-deer-ab,52.26682,-113.802,6118158,PPL
383,Renton,WA,US,100242,renton-wa,47.48288,-122.21707,5808189,PPL
384,Roanoke,VA,US,100011,roanoke-va,37.27097,-79.94143,4782167,PPLA2
